id,body,actor,reply,time,class
178,YAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAS,MedicalRyan,63,0:04,normal
1003,"Yes, me too!",raqueldunn,63,0:09,normal
1001,"Oh my @Ryan Loves TACO, your comments are so funny. But let me tell you this, this cake was beyond!!!!",ria_camiii,63,0:04,normal
1002,I want a piece!,veryhungryhanna,63,0:07,normal
51,Looks good1,coachmatthews,64,0:05,normal
179,Try strawberries and banananananananan!,MedicalRyan,64,0:08,normal
255,OMG! All my favourite things!,breethebaker,65,0:04,normal
14,Whateva....,artisanalways,66,0:05,normal
15,so smart! I still prefer the texture of actual ramen though...,breathe_in,66,0:08,normal
13,genius! 😂,localewis,66,0:02,normal
23,that's a disappointment. you should complain,NoahM1121,67,0:10,normal
5,I've always wanted to make challah! I hope mine comes out looking this good!,casssssssssie,69,0:04,normal
1004,I would love to have the recipe too. Its kind hard to get bread right.,honeylove,69,0:07,normal
1005,"I like baking my own bread too, but I have no idea how to make challah. Is it based on yeast?",jonsmith88,69,0:10,normal
4,Your challah came out so good looking! My family loves it but mine always gets a little flat. Do you mind sending me your recipe? Or even if you have any tips to share?,livelaughlove,69,0:03,normal
265,delicious!,localewis,71,0:03,normal
47,"be grateful that they like broccoli! 😂 They will get used to it though, i am sure",coachmatthews,73,0:03,normal
281,mmmm! Looks so yummy and perfect for a chilly night.,tastyrobot,73,0:11,normal
191,reminds me of the good ole times at #chelseamarket !,thisisalfie1998,73,0:06,normal
22,I totally feel you here. The third that has the greens on it is always the biggest struggle.,breethebaker,75,0:02,normal
67,"Wow, what a great idea. I wonder if my guys would try it...",hockeymom101,76,0:04,normal
306,Are those pecan nuts?,honeylove,76,0:05,normal
53,Sweeeeeet! :DDDD,lavenderrrrrr,76,0:01,normal
1007,YUM!,cassiechan,77,0:07,normal
1006,What I could eat RIGHT NOW,jteek,77,0:05,normal
297,😍😍my iron levels are screaming for this!,lucyinurdreams,77,0:02,normal
237,three meats? i look to call that the jackpot,Smitty12,77,0:01,normal
83,Awesome picture! I dig it.,ayoitsayo,78,0:11,normal
204,Do you know you can make bagels yourself? They are healthier!!,masterchefterry,78,0:12,normal
49,"you could probly make that at home for cheaper... but nonetheless, getting hungry now.",mateoV,78,0:08,normal
24,I hope it was good at least?,M.Kapadia92,79,0:04,normal
25,that sucks :C,ria_camiii,79,0:05,normal
216,i would have to politely disagree... too spicy,HP743,80,0:06,normal
65,We love Aiellos! They're sauces are to die for :),hockeymom101,81,0:02,normal
308,"haha, had those too when I was there!",james_c,81,0:14,normal
286,Yummm this is where the party is at,jiruletheworld,81,0:09,normal
110,PASTAAAAAAAAA YASSSSS. 😅,MedicalRyan,81,0:03,normal
236,Aiellos still has nothing on Cimpanis if you ask me !,Smitty12,81,0:06,normal
192,Man Aiello is always the best!,thisisalfie1999,81,0:06,normal
113,Wooooo...,BeardedMatt,82,0:07,normal
20,I've had it! Watching the process is definitely the best part haha,lee.alexa,83,0:03,normal
116,"There's a place called 10below in NYC that does this, real goooood.",Lisa181818,83,0:07,normal
21,"I haven't had it, but I think I need to. Matcha ice cream is the best.",livelaughlove,83,0:06,normal
1008,That is a funny way to do scoops,marvelousmia,83,0:12,normal
206,🍨🍨🍨💖💖💖,mewranda,83,0:10,normal
121,"I tried it in Chinatown, it's good",this_jack,83,0:08,normal
240,Looks amazing! I love eggplant parm!,Ataylor,84,0:06,normal
120,Oh boy I am hungry,this_jack,84,0:02,normal
273,Heaven on a plate!,breathe_in,85,0:04,normal
124,Bravo,EmmaSmith0214,85,0:03,normal
130,"WOOT, WOOT.",DonDonDonna,86,0:06,normal
267,Mouthwatering 😍😍,jupiterpride,86,0:09,normal
234,"Wow, looks interesting. Might have to find some of that to try myself",B.Mike,87,0:11,normal
131,That shirt!,DonDonDonna,87,0:10,normal
54,WOW! where can you get something like that???,earthpulse,87,0:03,normal
98,"Their brand is really starting to catch on. Good for them, great service and great food",karenM,87,0:07,normal
238,Jackfruit? Never even heard of it,Smitty12,87,0:13,normal
133,I think they are pretty popular in Japan. Savory food filling?,B.Mike,88,0:02,normal
1009,"Dude, that is simply sushi!!!???",cassiechan,88,0:12,normal
266,Yum!,localewis,88,0:07,normal
138,I remember trying it in Japan but forgot what it's called...,PatelS,88,0:04,normal
136,NICE!,BeardedMatt,89,0:05,normal
309,Good idea @Remy Lewis,cavsforever,90,0:07,normal
3,dude this photo is awesome. you should get whoever took it to join here haha,localewis,90,0:06,normal
55305,Why not trying to become a vegetarian??,youngcunningham,90,0:10,normal
217,no kiding! thats the dream <33333,HP749,91,0:03,normal
48,that looks disappointing. wings are only good if you eat too many imo,jupiterpride,92,0:01,normal
218,so truee! theres never enough!!!!!!!,PatelS,92,0:04,normal
239,Seeing any kind of wings just makes me salivate,Smitty15,92,0:05,normal
235,"I just got myself a press...I know bread is something I'm really trying to cut out, but nothing beats a good panini once in a while.",B.Mike,94,0:04,normal
10,nice shot 📷,fusionfeast,95,0:04,normal
310,that's a good picture. nice bokehh!,jonsmith88,95,0:10,normal
11,"oops, I meant burger...",lavenderrrrrr,95,0:05,normal
177,You're making me hungry!,MedicalRyan,95,0:08,normal
69,Yum. That would be a huge hit in our house...we can't keep enough ice cream in our fridge these days!,hockeymom101,96,0:07,normal
307,Yes! ;),livelaughlove,96,0:01,normal
287,This looks delicious! 😍,sweetietooth,96,0:09,normal
219,"??????!!!! I love apricots, i need one of these",PatelS,97,0:04,normal
75,"i need the recipe, apricots are my fav lolol",southerngirlCel,97,0:02,normal
183,"Somebody else made soup before, and yours looks equally yummy to meeee",MedicalRyan,98,0:01,normal
291,"Sounds like this soup has it all! Nutty, sweet, salty and toasted. I mean... yum!",sweetietooth,98,0:05,normal
184,Sour!,MedicalRyan,99,0:03,normal
244,Thats so creative! I might have to give this a try...,Ataylor,100,0:05,normal
272,😋waiting with my coffee and a spoon.,breathe_in,100,0:07,normal
185,*VISITING AMAZON.COM FOR A CROCKPOT NOW*,MedicalRyan,100,0:02,normal
34,"For everyone asking how to make soda: The basic recipe is to fill a clean, empty plastic bottle most of the way with water, add the flavored simple syrup of your choice (yes, you must use real sugar!) and a pinch of yeast. Champagne yeast is ideal if you can find it, but regular bread yeast works too. Then screw the cap on and let it sit for 24 hours or so. Taste after that time to make sure it's bubbly. If it is, put it in the fridge so it doesn't explode. Then enjoy!",earthpulse,101,0:10,normal
32,Well done! That's not something I've managed to do yet...,fusionfeast,101,0:04,normal
31,How do you make soda? Inquiring (& soda-loving) minds want to know!,lavenderrrrrr,101,0:01,normal
186,:DDDDD,MedicalRyan,101,0:11,normal
311,How did you make them?,raqueldunn,101,0:12,normal
33,So cool! How did you make it?,sweetpea,101,0:06,normal
241,"Sooo good, I'm jealous! 😅😅😅",Ataylor,102,0:08,normal
68,Dinner of champions right there lol.,hockeymom101,102,0:07,normal
289,One of my faves!,sweetietooth,102,0:12,normal
84,Lit 🔥🔥🔥,ayoitsayo,103,0:02,normal
319,NIce!,jonsmith88,103,0:12,normal
220,i'll take two :),PatelS,103,0:08,normal
288,YUM!,sweetietooth,103,0:09,normal
193,ME TOO how about we split lol,thisisalfie1999,103,0:04,normal
19,bro that's genius haha,cavsforever,104,0:05,normal
276,"It’s time for burgers, I guess 😬 thanks for sharing this one ❤️",jackrussellmom,104,0:07,normal
242,"It pays to be adventuous sometimes, even if it's just with your pizza",Ataylor,105,0:02,normal
2,great photo,M.Kapadia92,106,0:03,normal
172,You know coffee too? He's my best friend! Haha,MedicalRyan,106,0:06,normal
8,Ahhh this looks so good! Did you make it?,casssssssssie,107,0:02,normal
298,Yum!! That looks so good,lucyinurdreams,107,0:06,normal
173,Haven't had a proper breakfast for a bit.,MedicalRyan,107,0:03,normal
243,Just heard about all of your recent success! So proud of you,Ataylor,108,0:04,normal
176,:),MedicalRyan,108,0:03,normal
76," look at you, so dedicated. miss you tons, keep killin it !",southerngirlCel,108,0:01,normal
29,I love baking with ginger! this looks sooo tasty!,casssssssssie,109,0:03,normal
245,who doesnt like a good glaze?,jake_turk,109,0:07,normal
180,I want some!,MedicalRyan,109,0:04,normal
1010,LOVE!,veryhungryhanna,109,0:10,normal
181,I still like my clam chower,MedicalRyan,110,0:02,normal
182,"But veggie chowder is good too, any soup can go into my tummy.",MedicalRyan,110,0:05,normal
55,yum yum ;),Jcole9,111,0:03,normal
64,"c'mon you're making me hungry, might have to order me and the boys a few of those tonight",SamTHEMAN,111,0:04,normal
290,Yes please! 😂💜🌷,sweetietooth,111,0:06,normal
252,Ohmygooooodness! I've been meaning to tell me is that the korean bbq is a new fav in our house!,breethebaker,113,0:04,normal
292,Well if this meal isn’t the way to my husbands heart then I don’t what is.,dana84,114,0:07,normal
1,This the coolest thing I've ever seen! I have to admire this store's commitment to puns...,casssssssssie,115,0:02,normal
1011,WHAT? Really???,honeylove,115,0:06,normal
1012,Awesome!,marvelousmia,115,0:07,normal
1013,Wanna shop there.,sarahstella,115,0:07,normal
43,😂,wiz_khaleesi,115,0:03,normal
18,I love currants! This looks sooo tasty!!,casssssssssie,117,0:03,normal
312,Can you share the recipe?,veryhungryhanna,117,0:08,normal
39,That looks pretty gross hahah,MannyDL34,119,0:06,normal
44,I got food poisoning from a yorkshire pudding once so just looking at this is bringing back not-so-great memories. no offense haha,lavenderrrrrr,120,0:05,normal
109,"Interesting...I haven't been to the movies for a while, but defintiely don't remember that.",TimBJenkins,121,0:02,normal
28,It really does look gourmet! :),Jcole9,122,0:03,normal
119,I have eaten many fruit skins lol,Lisa181818,123,0:02,normal
122,"As a newyorker, I have no right to speak lol",this_jack,124,0:01,normal
123,Looks good!,this_jack,125,0:04,normal
125,CHEESE! CHEESE! CHEESE! CHEESE! CHEESE!,EmmaSmith0214,126,0:04,normal
17,looks good man,john73,126,0:03,normal
313,🤤,katrose,126,0:07,normal
93,looks like its gonna be a good night,cavsforever,127,0:04,normal
293,Looks fantastic.,dana84,127,0:06,normal
128,yummy! 😉,DonDonDonna,127,0:05,normal
1014,CORN! haha,itstrevor,127,0:08,normal
246,grill them up baby!,jake_turk,127,0:05,normal
280,Love the presentation! These look delicious 🤤,tastyrobot,128,0:07,normal
92,"I still remember when you first told me that story at Nif's, so funny ",cavsforever,131,0:05,normal
38,"I love old cookbooks, they're always full of gems!",casssssssssie,132,0:03,normal
27,delicious! Makes me want to break out the panini maker!,breathe_in,135,0:06,normal
50,avocado-love!!! lol,_aikira_,136,0:02,normal
318,😋Avocado salads are sooo good.,honeylove,136,0:04,normal
56,My mom loves the homemade cakes I make her for her birthdays.,coachmatthews,137,0:02,normal
188,I should call my mom as well...,mariaann,137,0:12,normal
111,I'd be jealous if I was your dad! Happy B-day to your mom!,MedicalRyan,137,0:06,normal
72,Happy bday to your mom and all the best to the family mateo,Smitty12,137,0:03,normal
114,Nice chick!,BeardedMatt,138,0:07,normal
95,"Look at you Mateo, husband of the year!",karenM,138,0:05,normal
205,"I NEED THIS RECIPE, LIKE, NOWWWWW",masterchefterry,138,0:08,normal
6,Beautiful! What variety is it?,bblueberryy,139,0:04,normal
91,"can't wait till my peppers start to ripen, gotta love homegrown veggies!!!",cavsforever,139,0:06,normal
96,"My tomatoes never turn out in our backyard. You must be doing something right, they look delicious!",karenM,139,0:10,normal
194,your dad should start a 🍅business and I'm not kidding,thisisalfie1999,139,0:11,normal
26,this looks like an amazing healthy meal!,bblueberryy,141,0:03,normal
260,That looks so good. Eating right is always hard on holiday whatever it is.,kittycatbakes,141,0:05,normal
294,Extraordinary,dana84,142,0:09,normal
94,I love it! Have you ever tried it with any meats?  😉,karenM,142,0:05,normal
187,"add ""chinese"" in front of a food and it will immediately gets better haha",mariaann,144,0:06,normal
45,bro you eat too much ice cream ... haahaaa,localewis,145,0:07,normal
112,"Burned edges are always a good sign of home-made pizza, who cares? <3",MedicalRyan,147,0:04,normal
115,It's okay. My tree is still up. lol,BeardedMatt,148,0:03,normal
268,Wow this looks good!,jupiterpride,148,0:08,normal
117,Seafood always goes well with pasta. Yum,Lisa181818,149,0:02,normal
295,Yum,dana84,150,0:04,normal
118,Low-sodium diet I guess. Haha,Lisa181818,150,0:01,normal
126,Miss college days!,EmmaSmith0214,151,0:04,normal
66000,ssssss$$$askjll,Marcymaniac,151,0:01,normal
132,"Emma, it's good, you shouls try it. Just more syrup. You know how they do it in the south. lol",B.Mike,152,0:05,normal
127,Woooo. never tried it. How's it?,EmmaSmith0214,152,0:02,normal
1015,Could have a waffle right now.... Actually.,honeylove,152,0:09,normal
189,Anyone ever thought about a combination of tacos and waffles? they rhyme!,mariaann,152,0:06,normal
207,#texanpride,MomFiona,152,0:08,normal
134,Beautiful,B.Mike,153,0:07,normal
129,Glaze!,DonDonDonna,153,0:05,normal
135,Haha,B.Mike,154,0:04,normal
52,im sure this was really good but I could never do the marshmallows with dinner. way too sweet!,lavenderrrrrr,154,0:03,normal
9,Sounds like these would make an awesome dessert too.,caffeinated,155,0:02,normal
137,Yeppie. Breakfasts like day start your day right.,PatelS,155,0:04,normal
71,Nothing compares to our Chowdaa from the east coast,Smitty12,156,0:04,normal
106,"I love seafood chowder, especially with some nice black pepper sprinkled on top.",TimBJenkins,156,0:05,normal
16,nice! how did they taste?,localewis,157,0:02,normal
270,I want this for dinner,jupiterpride,158,0:05,normal
283,Oh yummmmm,jiruletheworld,162,0:08,normal
37,"my mouth is literally watering, what an amazing flavor combo...",jupiterpride,162,0:03,normal
316,😋,marvelousmia,162,0:15,normal
224,"Beverly makes the best quiche with brie and bell peppers, it's been too long since though...",TomM41,162,0:05,normal
296,😐... OMG,dana84,163,0:09,normal
222,all these desserts are making me sooooo hungry arhhhg,PatelS,163,0:05,normal
97,Looks yummy! ☺️☺️☺️,karenM,164,0:07,normal
221,thats my kind aparty ;),PatelS,166,0:06,normal
63,My invite must have got lost in the mail...,SamTHEMAN,166,0:05,normal
247,no meat? im sorry but I have to question your omellette-making abilities if you don't include bacon,jake_turk,169,0:04,normal
269,Loooks good though...,jupiterpride,170,0:02,normal
275,Looks absolutely delish! 😍,jackrussellmom,172,0:04,normal
271,I have to try it! It looks amazing 😍,breathe_in,173,0:06,normal
169,"Delivery, low key 200% sure lol",MannyDL34,173,0:02,normal
284,"This looks SO delicious!! Check out our page for some tasty photos, too :)",jiruletheworld,175,0:04,normal
103,"look at you go girl, looks yummmyyy",casssssssssie,178,0:02,normal
274,"Wow, next on my to-do list, thanks 💖👏😋",jackrussellmom,178,0:06,normal
223,"Wow, I'm very impressed...your parents must've been surprised that they raised such a good cook.",TomM41,178,0:05,normal
278,Omg stop it!!! 😍,jackrussellmom,179,0:07,normal
248,i dont really get this whole sushi fad...yea it fines but really its just rice and raw meat right?,jake_turk,179,0:03,normal
225,"I don't know if we'll ever get used to it, but I must admit, i quite enjoy all of the tasty looking photos",TomM41,182,0:05,normal
314,Looks amazing! Would love to try them,honeylove,183,0:04,normal
279,Yep these are calling my name!,lavenderrrrrr,183,0:03,normal
208,Yes!! Stick to homemade so you actually know what you are eating!!,MomFiona,183,0:01,normal
70,AHAHA classic Murph...that guy can;t get enough of his nachos,Smitty12,185,0:02,normal
74,im coming over....you cant have meatballs without me!!!,southerngirlCel,186,0:06,normal
277,It's gonna help me pass motion after I eat this spicy noodle dish.,jackrussellmom,187,0:04,normal
78,omg he's too cute! I miss Ben so much <3,KatieeeM,194,0:08,normal
253,gorgeous gorgeous styling and photo!,breethebaker,198,0:07,normal
73,cant wait for our tacofest in the summer,Smitty12,201,0:05,normal
170,LOVE THIS!!! #nerdblaze,MannyDL34,207,0:02,normal
209,is this paint edible?,MomFiona,207,0:05,normal
102,"amazing, congrats <333",casssssssssie,208,0:03,normal
195,Do you guys still hire interns??? Asking for a friend,thisisalfie1998,216,0:02,normal
196,Nice.,thisisalfie1998,217,0:06,normal
107,"Wow, I haven't had ramen since the college days. Good times.",TimBJenkins,217,0:03,normal
55301,MAKE $5000 PER WEEK WORKING FROM HOME. FIND OUT MORE!!!! http://www.5z8.info/_v4k6898ym_38--start,csmbx1,220,0:10,normal
315,😂😂😂,katrose,221,0:08,normal
108,Oh how we miss our old metabolisms...,TimBJenkins,221,0:04,normal
249,"well in that case, im a big bag of barbecue chips right now lol!",jake_turk,230,0:02,normal
99,What kind of rolls are those? I tried something called a sumo roll last week and it was delicious,karenM,236,0:08,normal
55399,MAKE $5000 PER WEEK WORKING FROM HOME. FIND OUT MORE!!!! http://www.5z8.info/_v4k326ym_38--start,csmbx1,240,0:15,normal
285,YUM! I’m making this tomorrow. Does the coconut milk have to be from a can or can it be from a carton (ie- Trader Joe’s coconut milk)? Thanks!,jiruletheworld,241,0:10,normal
101,so classy lucy,casssssssssie,244,0:06,normal
80,What's the name of the place??,sweetietooth,245,0:03,normal
85,This can't be real!,ayoitsayo,246,0:04,normal
317,😋,marvelousmia,246,0:09,normal
81,Don't we all just live for these?!,sweetietooth,246,0:01,normal
210,True but you never know what they used to grow those veggies...,MomFiona,249,0:08,normal
87,"gonna have to order me some za tonight, looks so good",cavsforever,251,0:09,normal
1016,OMG! Where can you get those????,angelbao,253,0:16,normal
86,2 bacon cheeseburgs would!,cavsforever,253,0:04,normal
198,Three cheese burgers can!,KatieeeM,253,0:07,normal
226,Maybe three of them...,TomM41,253,0:12,normal
82,Japchaes are my favorite too!,sweetietooth,256,0:07,normal
89,might have to celebrate yesterday's big win with one these tonight,cavsforever,257,0:06,normal
100,Mmmm looks super good. I might have to treat my sweet tooth tonight too!,karenM,257,0:10,normal
55302,HILLARY LIED ABOUT BENGHAZI!!!! she left americans to die. #lockherup,MrShazam,258,0:05,normal
90,"dakawhatta? never heard of it, looks good though",cavsforever,259,0:02,normal
199,This looks nice. Maybe I can also do this for my daughter's birthday...,Dad Jenkins,261,0:11,normal
66000,xxx**++2,Marcymaniac,263,0:02,normal
227,Can't remember the last time I had a cinnamon roll...might be a time for a trip to Patsy's,TomM41,267,0:04,normal
3001,Love boba!!!!,cassiechan,2000,0:10,normal
3002,❤️,juliag26,2000,0:13,normal
3003,Love them too! 😍😍😍,priscilla_lu,2000,0:23,normal
3005,"honestly, me at every challenge! hang in there :)",cantbeatme,2005,0:21,normal
3004,"aw, i do just the same! 🤣🤣🤣",EZpz,2005,0:03,normal
3006,"you two look so cute, keep up it! oh, you ladies in the back look cute too ;)",itstrevor,2006,0:05,normal
3008,ikr tfti! i want some too!,kingsaqueen,2006,0:08,normal
3007,tfti!,robeats,2006,0:07,normal
3010,"lol, you are tripping @Olivia Liu",donuts4me,2007,0:04,normal
3009,"ok, but whos the cutie in the back? 🤭",olivialiu,2007,0:03,normal
3012,stack em up! stack em up!,daharms,2008,0:04,normal
3011,"jeez, thats a lot of bagels you got there",peytonsnacks,2008,0:02,normal
3013,so jelly!!,marvelousmia,2009,0:04,normal
3015,"haha sure, come with me next time :)",plate.it.up,2009,0:15,normal
3014,can the chef cook me up something too? :O,vdoonan,2009,0:12,normal
3299,Yum.,casssssssssie,2010,0:13,normal
3016,youre holding such great food...,robeats,2010,0:07,normal
3017,"as my name suggests, i am veryhungryhanna so please shareee",veryhungryhanna,2010,0:12,normal
3019,ohh dessert looks amazing!,daharms,2011,0:10,normal
3020,you gals look like you all had fun :),dianalovesdesserts,2011,0:11,normal
3018,"honestly, friendship goals ",olivialiu,2011,0:02,normal
3021,"aw, thanks guys!",plate.it.up,2011,0:12,normal
3023,"me too, me too ;)",drinksonyou,2012,0:14,normal
3022,so aesthetic :O,itstrevor,2012,0:13,normal
3024,mickeyds all the way,honeylove,2013,0:15,normal
3026,very impressed with this!,marvelousmia,2014,0:17,normal
3025,woahh,peytonsnacks,2014,0:03,normal
3027,where's my invite omg 😅,veryhungryhanna,2014,0:22,normal
3029,"haha @Hannah Walsh maybe so, maybe so ",cantbeatme,2015,0:20,normal
3028,SEE. IF YOU JUST INVITED ME THINGS WOULDVE GONE DIFFERENTLY.,veryhungryhanna,2015,0:04,normal
4500,Japan???,casssssssssie,2016,0:22,normal
3030,what a dumpling!,dianalovesdesserts,2016,0:12,normal
3031,i bet i could beat it,hannah-foods,2016,0:13,normal
3033,that dumpling is like the size of a set of twin newborns... no triplets!!,robeats,2016,0:20,normal
3032,wait japan??,vdoonan,2016,0:15,normal
3036,@Ashab AlliIt's not a bad thing you know!,itstrevor,2017,0:15,normal
3034,honestly same!,peytonsnacks,2017,0:04,normal
3035,i cant break my cravings on coffee :(,washabi,2017,0:10,normal
3037,DID SOMEONE SAY SNACK BREAK?,marvelousmia,2018,0:07,normal
3038,ohh good choice!,olivialiu,2018,0:09,normal
3039,SNACKS SNACKS SNACKS 😍,peytonsnacks,2018,0:10,normal
3042,watch me.,honeylove,2019,0:08,normal
3040,"um, i will :D",nathar,2019,0:01,normal
3041,"psh, i can still SEE you!",vdoonan,2019,0:07,normal
3044,"aw ty ty, but seriously, try out this ice cream shop :)",cassiechan,2020,0:32,normal
3494,"I can recommend, its great!",marvelousmia,2020,0:12,normal
3043,you're amazing!,olivialiu,2020,0:06,normal
3045,what a fun gathering!,itstrevor,2021,0:06,normal
3047,you girls are amazing!,nathar,2022,0:38,normal
3046,hope you didnt spill any of that!,washabi,2022,0:21,normal
3048,"nice cake, nice company ",lukas_m,2023,0:03,normal
3049,looks fantastic!,karkarw,2024,0:08,normal
3050,"looks so good, im drooling!",veryhungryhanna,2025,0:10,normal
3051,"lol, i want to know what it is too!",drinksonyou,2026,0:04,normal
3052,"erm, pizza? hotdog? ",lukas_m,2026,0:32,normal
3053,nonetheless it sure looks really tasty!,sarahstella,2026,0:33,normal
3054,but will it be the best burger IVE ever tried?,karkarw,2027,0:02,normal
3055,🤔🤔🤔,PIEorPI,2027,0:05,normal
3057,@Ashab Alli it tasted not so bad actually :),jonsmith88,2028,0:16,normal
3056,"oh, ive made bread before! i hope it tasted better than my monstrous creation..",washabi,2028,0:03,normal
3058,beautiful!,honeylove,2029,0:03,normal
3060,🍞😬,itstrevor,2029,0:22,normal
3059,get that bread!,lukas_m,2029,0:21,normal
3062,but wheres your drink tho ;) ?,drinksonyou,2030,0:05,normal
3061,yes indeed :D,veryhungryhanna,2030,0:01,normal
3063,"yeah same, but i feel like i should be walking more!",MoH,2031,0:01,normal
3124,Looks awesome!,emily_quispe,2032,0:01,normal
3064,but that's what's best!!!,yungtung,2032,0:04,normal
3066,looks so good!,daharms,2033,0:34,normal
3065,"no, but that's why i need an invite",hannah-foods,2033,0:02,normal
3067,you should try making it! it'll turn out as great as your bread!,sarahstella,2033,0:36,normal
3070,10/10 would visit again,jonsmith88,2034,0:12,normal
3069,that view!,kaykay027,2034,0:10,normal
3068,what a beautiful sight :),shirokuro,2034,0:05,normal
3074,"I want cupcakes, too!",hannah-foods,2035,0:09,normal
3072,"@Jon Smith haha, yes! Yuuuummmmyyy!",honeylove,2035,0:02,normal
3076,"It was vanilla kind with some very sugary icing... haha, not very spectacular. ",honeylove,2035,0:13,normal
3071,"I know that place.... it's in Boston, right? 🤓",jonsmith88,2035,0:01,normal
3073,🤣,jonsmith88,2035,0:04,normal
3075,What type of cupcake was it?,raqueldunn,2035,0:10,normal
4501,Love that place! Have been there too!,casssssssssie,2036,0:11,normal
3080,Mike's Pastry in Boston 👍,honeylove,2036,0:10,normal
3079,I wanna know too!!!!,julimuli,2036,0:09,normal
4502,😊,PatelS,2036,0:12,normal
3077,😋😋😋,sarahstella,2036,0:05,normal
3078,OMG! Where can you get those????,sofiaberger,2036,0:06,normal
3083,🙂,drinksonyou,2037,0:06,normal
3081,Looks yummy,raqueldunn,2037,0:02,normal
