id,body,actor,reply,time
255,OMG! All my favourite things!,breethebaker,65,00:04
14,Whateva....,artisanalways,66,00:05
15,so smart! I still prefer the texture of actual ramen though...,breathe_in,66,00:08
13,genius! 😂,localewis,66,00:02
23,that's a disappointment. you should complain,NoahM1121,67,00:10
5,I've always wanted to make challah! I hope mine comes out looking this good!,casssssssssie,69,00:04
1004,I would love to have the recipe too. Its kind hard to get bread right.,honeylove,69,00:07
1005,"I like baking my own bread too, but I have no idea how to make challah. Is it based on yeast?",jonsmith88,69,00:10
4,Your challah came out so good looking! My family loves it but mine always gets a little flat. Do you mind sending me your recipe? Or even if you have any tips to share?,livelaughlove,69,00:03
265,delicious!,localewis,71,00:03
47,"be grateful that they like broccoli! 😂 They will get used to it though, i am sure",coachmatthews,73,00:03
281,mmmm! Looks so yummy and perfect for a chilly night.,tastyrobot,73,00:11
191,reminds me of the good ole times at #chelseamarket !,thisisalfie1998,73,00:06
22,I totally feel you here. The third that has the greens on it is always the biggest struggle.,breethebaker,75,00:02
67,"Wow, what a great idea. I wonder if my guys would try it...",hockeymom101,76,00:04
306,Are those pecan nuts?,honeylove,76,00:05
53,Sweeeeeet! :DDDD,lavenderrrrrr,76,00:01
1007,YUM!,cassiechan,77,00:07
1006,What I could eat RIGHT NOW,jteek,77,00:05
297,😍😍my iron levels are screaming for this!,lucyinurdreams,77,00:02
237,three meats? i look to call that the jackpot,Smitty12,77,00:01
83,Awesome picture! I dig it.,ayoitsayo,78,00:11
204,Do you know you can make bagels yourself? They are healthier!!,masterchefterry,78,00:12
49,"you could probly make that at home for cheaper... but nonetheless, getting hungry now.",mateoV,78,00:08
24,I hope it was good at least?,M.Kapadia92,79,00:04
25,that sucks :C,ria_camiii,79,00:05
216,i would have to politely disagree... too spicy,HP743,80,00:06
65,We love Aiellos! They're sauces are to die for :),hockeymom101,81,00:02
308,"haha, had those too when I was there!",james_c,81,00:14
286,Yummm this is where the party is at,jiruletheworld,81,00:09
110,PASTAAAAAAAAA YASSSSS. 😅,MedicalRyan,81,00:03
236,Aiellos still has nothing on Cimpanis if you ask me !,Smitty12,81,00:06
192,Man Aiello is always the best!,thisisalfie1999,81,00:06
113,Wooooo...,BeardedMatt,82,00:07
20,I've had it! Watching the process is definitely the best part haha,lee.alexa,83,00:03
116,"There's a place called 10below in NYC that does this, real goooood.",Lisa181818,83,00:07
21,"I haven't had it, but I think I need to. Matcha ice cream is the best.",livelaughlove,83,00:06
1008,That is a funny way to do scoops,marvelousmia,83,00:12
206,🍨🍨🍨💖💖💖,mewranda,83,00:10
121,"I tried it in Chinatown, it's good",this_jack,83,00:08
240,Looks amazing! I love eggplant parm!,Ataylor,84,00:06
120,Oh boy I am hungry,this_jack,84,00:02
273,Heaven on a plate!,breathe_in,85,00:04
124,Bravo,EmmaSmith0214,85,00:03
130,"WOOT, WOOT.",DonDonDonna,86,00:06
267,Mouthwatering 😍😍,jupiterpride,86,00:09
234,"Wow, looks interesting. Might have to find some of that to try myself",B.Mike,87,00:11
131,That shirt!,DonDonDonna,87,00:10
54,WOW! where can you get something like that???,earthpulse,87,00:03
98,"Their brand is really starting to catch on. Good for them, great service and great food",karenM,87,00:07
238,Jackfruit? Never even heard of it,Smitty12,87,00:13
133,I think they are pretty popular in Japan. Savory food filling?,B.Mike,88,00:02
1009,"Dude, that is simply sushi!!!???",cassiechan,88,00:12
266,Yum!,localewis,88,00:07
138,I remember trying it in Japan but forgot what it's called...,PatelS,88,00:04
136,NICE!,BeardedMatt,89,00:05
309,Good idea @Remy Lewis,cavsforever,90,00:07
3,dude this photo is awesome. you should get whoever took it to join here haha,localewis,90,00:06
55305,Why not trying to become a vegetarian??,youngcunningham,90,00:10
217,no kiding! thats the dream <33333,HP749,91,00:03
48,that looks disappointing. wings are only good if you eat too many imo,jupiterpride,92,00:01
218,so truee! theres never enough!!!!!!!,PatelS,92,00:04
239,Seeing any kind of wings just makes me salivate,Smitty15,92,00:05
235,"I just got myself a press...I know bread is something I'm really trying to cut out, but nothing beats a good panini once in a while.",B.Mike,94,00:04
10,nice shot 📷,fusionfeast,95,00:04
310,that's a good picture. nice bokehh!,jonsmith88,95,00:10
11,"oops, I meant burger...",lavenderrrrrr,95,00:05
177,You're making me hungry!,MedicalRyan,95,00:08
69,Yum. That would be a huge hit in our house...we can't keep enough ice cream in our fridge these days!,hockeymom101,96,00:07
307,Yes! ;),livelaughlove,96,00:01
287,This looks delicious! 😍,sweetietooth,96,00:09
219,"??????!!!! I love apricots, i need one of these",PatelS,97,00:04
75,"i need the recipe, apricots are my fav lolol",southerngirlCel,97,00:02
183,"Somebody else made soup before, and yours looks equally yummy to meeee",MedicalRyan,98,00:01
291,"Sounds like this soup has it all! Nutty, sweet, salty and toasted. I mean... yum!",sweetietooth,98,00:05
184,Sour!,MedicalRyan,99,00:03
244,Thats so creative! I might have to give this a try...,Ataylor,100,00:05
272,😋waiting with my coffee and a spoon.,breathe_in,100,00:07
185,*VISITING AMAZON.COM FOR A CROCKPOT NOW*,MedicalRyan,100,00:02
34,"For everyone asking how to make soda: The basic recipe is to fill a clean, empty plastic bottle most of the way with water, add the flavored simple syrup of your choice (yes, you must use real sugar!) and a pinch of yeast. Champagne yeast is ideal if you can find it, but regular bread yeast works too. Then screw the cap on and let it sit for 24 hours or so. Taste after that time to make sure it's bubbly. If it is, put it in the fridge so it doesn't explode. Then enjoy!",earthpulse,101,00:10
32,Well done! That's not something I've managed to do yet...,fusionfeast,101,00:04
31,How do you make soda? Inquiring (& soda-loving) minds want to know!,lavenderrrrrr,101,00:01
186,:DDDDD,MedicalRyan,101,00:11
311,How did you make them?,raqueldunn,101,00:12
33,So cool! How did you make it?,sweetpea,101,00:06
241,"Sooo good, I'm jealous! 😅😅😅",Ataylor,102,00:08
68,Dinner of champions right there lol. ,hockeymom101,102,00:07
289,One of my faves!,sweetietooth,102,00:12
84,Lit 🔥🔥🔥,ayoitsayo,103,00:02
319,NIce!,jonsmith88,103,00:12
220,i'll take two :),PatelS,103,00:08
288,YUM!,sweetietooth,103,00:09
193,ME TOO how about we split lol,thisisalfie1999,103,00:04
19,bro that's genius haha,cavsforever,104,00:05
276,"It’s time for burgers, I guess 😬 thanks for sharing this one ❤️",jackrussellmom,104,00:07
242,"It pays to be adventuous sometimes, even if it's just with your pizza",Ataylor,105,00:02
2,great photo,M.Kapadia92,106,00:03
172,You know coffee too? He's my best friend! Haha,MedicalRyan,106,00:06
8,Ahhh this looks so good! Did you make it?,casssssssssie,107,00:02
298,Yum!! That looks so good,lucyinurdreams,107,00:06
173,Haven't had a proper breakfast for a bit.,MedicalRyan,107,00:03
243,Just heard about all of your recent success! So proud of you,Ataylor,108,00:04
176,:),MedicalRyan,108,00:03
76," look at you, so dedicated. miss you tons, keep killin it !",southerngirlCel,108,00:01
29,I love baking with ginger! this looks sooo tasty!,casssssssssie,109,00:03
245,who doesnt like a good glaze?,jake_turk,109,00:07
180,I want some!,MedicalRyan,109,00:04
1010,LOVE!,veryhungryhanna,109,00:10
181,I still like my clam chower,MedicalRyan,110,00:02
182,"But veggie chowder is good too, any soup can go into my tummy.",MedicalRyan,110,00:05
55,yum yum ;),Jcole9,111,00:03
64,"c'mon you're making me hungry, might have to order me and the boys a few of those tonight",SamTHEMAN,111,00:04
290,Yes please! 😂💜🌷,sweetietooth,111,00:06
252,Ohmygooooodness! I've been meaning to tell me is that the korean bbq is a new fav in our house!,breethebaker,113,00:04
292,Well if this meal isn’t the way to my husbands heart then I don’t what is.,dana84,114,00:07
1,This the coolest thing I've ever seen! I have to admire this store's commitment to puns...,casssssssssie,115,00:02
1011,WHAT? Really???,honeylove,115,00:06
1012,Awesome!,marvelousmia,115,00:07
1013,Wanna shop there.,sarahstella,115,00:07
43,😂,wiz_khaleesi,115,00:03
18,I love currants! This looks sooo tasty!!,casssssssssie,117,00:03
312,Can you share the recipe?,veryhungryhanna,117,00:08
39,That looks pretty gross hahah ,MannyDL34,119,00:06
44,I got food poisoning from a yorkshire pudding once so just looking at this is bringing back not-so-great memories. no offense haha,lavenderrrrrr,120,00:05
109,"Interesting...I haven't been to the movies for a while, but defintiely don't remember that.",TimBJenkins,121,00:02
28,It really does look gourmet! :),Jcole9,122,00:03
119,I have eaten many fruit skins lol,Lisa181818,123,00:02
122,"As a newyorker, I have no right to speak lol",this_jack,124,00:01
123,Looks good!,this_jack,125,00:04
125,CHEESE! CHEESE! CHEESE! CHEESE! CHEESE! ,EmmaSmith0214,126,00:04
17,looks good man,john73,126,00:03
313,🤤,katrose,126,00:07
93,looks like its gonna be a good night,cavsforever,127,00:04
293,Looks fantastic.,dana84,127,00:06
128,yummy! 😉,DonDonDonna,127,00:05
1014,CORN! haha,itstrevor,127,00:08
246,grill them up baby!,jake_turk,127,00:05
280,Love the presentation! These look delicious 🤤,tastyrobot,128,00:07
92,"I still remember when you first told me that story at Nif's, so funny ",cavsforever,131,00:05
38,"I love old cookbooks, they're always full of gems!",casssssssssie,132,00:03
27,delicious! Makes me want to break out the panini maker! ,breathe_in,135,00:06
50,avocado-love!!! lol,_aikira_,136,00:02
318,😋Avocado salads are sooo good. ,honeylove,136,00:04
56,My mom loves the homemade cakes I make her for her birthdays.,coachmatthews,137,00:02
188,I should call my mom as well...,mariaann,137,00:12
111,I'd be jealous if I was your dad! Happy B-day to your mom!,MedicalRyan,137,00:06
72,Happy bday to your mom and all the best to the family mateo,Smitty12,137,00:03
114,Nice chick!,BeardedMatt,138,00:07
95,"Look at you Mateo, husband of the year!",karenM,138,00:05
205,"I NEED THIS RECIPE, LIKE, NOWWWWW",masterchefterry,138,00:08
6,Beautiful! What variety is it?,bblueberryy,139,00:04
91,"can't wait till my peppers start to ripen, gotta love homegrown veggies!!!",cavsforever,139,00:06
96,"My tomatoes never turn out in our backyard. You must be doing something right, they look delicious!",karenM,139,00:10
194,your dad should start a 🍅business and I'm not kidding,thisisalfie1999,139,00:11
26,this looks like an amazing healthy meal!,bblueberryy,141,00:03
260,That looks so good. Eating right is always hard on holiday whatever it is.,kittycatbakes,141,00:05
294,Extraordinary,dana84,142,00:09
94,I love it! Have you ever tried it with any meats?  😉,karenM,142,00:05
187,"add ""chinese"" in front of a food and it will immediately gets better haha",mariaann,144,00:06
45,bro you eat too much ice cream ... haahaaa,localewis,145,00:07
112,"Burned edges are always a good sign of home-made pizza, who cares? <3",MedicalRyan,147,00:04
115,It's okay. My tree is still up. lol,BeardedMatt,148,00:03
268,Wow this looks good!,jupiterpride,148,00:08
117,Seafood always goes well with pasta. Yum,Lisa181818,149,00:02
295,Yum,dana84,150,00:04
118,Low-sodium diet I guess. Haha,Lisa181818,150,00:01
126,Miss college days!,EmmaSmith0214,151,00:04
66000,ssssss$$$askjll,Marcymaniac,151,00:01
132,"Emma, it's good, you shouls try it. Just more syrup. You know how they do it in the south. lol",B.Mike,152,00:05
127,Woooo. never tried it. How's it?,EmmaSmith0214,152,00:02
1015,Could have a waffle right now.... Actually.,honeylove,152,00:09
189,Anyone ever thought about a combination of tacos and waffles? they rhyme!,mariaann,152,00:06
207,#texanpride,MomFiona,152,00:08
134,Beautiful,B.Mike,153,00:07
129,Glaze!,DonDonDonna,153,00:05
135,Haha,B.Mike,154,00:04
52,im sure this was really good but I could never do the marshmallows with dinner. way too sweet!,lavenderrrrrr,154,00:03
9,Sounds like these would make an awesome dessert too.,caffeinated,155,00:02
137,Yeppie. Breakfasts like day start your day right.,PatelS,155,00:04
71,Nothing compares to our Chowdaa from the east coast,Smitty12,156,00:04
106,"I love seafood chowder, especially with some nice black pepper sprinkled on top.",TimBJenkins,156,00:05
16,nice! how did they taste?,localewis,157,00:02
270,I want this for dinner,jupiterpride,158,00:05
283,Oh yummmmm,jiruletheworld,162,00:08
37,"my mouth is literally watering, what an amazing flavor combo...",jupiterpride,162,00:03
316,😋,marvelousmia,162,00:15
224,"Beverly makes the best quiche with brie and bell peppers, it's been too long since though...",TomM41,162,00:05
296,😐... OMG,dana84,163,00:09
222,all these desserts are making me sooooo hungry arhhhg ,PatelS,163,00:05
97,Looks yummy! ☺️☺️☺️,karenM,164,00:07
221,thats my kind aparty ;),PatelS,166,00:06
63,My invite must have got lost in the mail...,SamTHEMAN,166,00:05
247,no meat? im sorry but I have to question your omellette-making abilities if you don't include bacon,jake_turk,169,00:04
269,Loooks good though...,jupiterpride,170,00:02
275,Looks absolutely delish! 😍,jackrussellmom,172,00:04
271,I have to try it! It looks amazing 😍,breathe_in,173,00:06
169,"Delivery, low key 200% sure lol",MannyDL34,173,00:02
284,"This looks SO delicious!! Check out our page for some tasty photos, too :)",jiruletheworld,175,00:04
103,"look at you go girl, looks yummmyyy",casssssssssie,178,00:02
274,"Wow, next on my to-do list, thanks 💖👏😋",jackrussellmom,178,00:06
223,"Wow, I'm very impressed...your parents must've been surprised that they raised such a good cook.",TomM41,178,00:05
278,Omg stop it!!! 😍,jackrussellmom,179,00:07
248,i dont really get this whole sushi fad...yea it fines but really its just rice and raw meat right?,jake_turk,179,00:03
225,"I don't know if we'll ever get used to it, but I must admit, i quite enjoy all of the tasty looking photos",TomM41,182,00:05
314,Looks amazing! Would love to try them,honeylove,183,00:04
279,Yep these are calling my name!,lavenderrrrrr,183,00:03
208,Yes!! Stick to homemade so you actually know what you are eating!!,MomFiona,183,00:01
70,AHAHA classic Murph...that guy can;t get enough of his nachos,Smitty12,185,00:02
74,im coming over....you cant have meatballs without me!!!,southerngirlCel,186,00:06
277,It's gonna help me pass motion after I eat this spicy noodle dish.,jackrussellmom,187,00:04
78,omg he's too cute! I miss Ben so much <3,KatieeeM,194,00:08
253,gorgeous gorgeous styling and photo!,breethebaker,198,00:07
73,cant wait for our tacofest in the summer,Smitty12,201,00:05
170,LOVE THIS!!! #nerdblaze,MannyDL34,207,00:02
209,is this paint edible?,MomFiona,207,00:05
102,"amazing, congrats <333",casssssssssie,208,00:03
195,Do you guys still hire interns??? Asking for a friend,thisisalfie1998,216,00:02
196,Nice.,thisisalfie1998,217,00:06
107,"Wow, I haven't had ramen since the college days. Good times.",TimBJenkins,217,00:03
55301,MAKE $5000 PER WEEK WORKING FROM HOME. FIND OUT MORE!!!! http://www.5z8.info/_v4k6898ym_38--start,csmbx1,220,00:10
315,😂😂😂,katrose,221,00:08
108,Oh how we miss our old metabolisms...,TimBJenkins,221,00:04
249,"well in that case, im a big bag of barbecue chips right now lol!",jake_turk,230,00:02
99,What kind of rolls are those? I tried something called a sumo roll last week and it was delicious,karenM,236,00:08
55399,MAKE $5000 PER WEEK WORKING FROM HOME. FIND OUT MORE!!!! http://www.5z8.info/_v4k326ym_38--start,csmbx1,240,00:15
285,YUM! I’m making this tomorrow. Does the coconut milk have to be from a can or can it be from a carton (ie- Trader Joe’s coconut milk)? Thanks!,jiruletheworld,241,00:10
101,so classy lucy,casssssssssie,244,00:06
80,What's the name of the place??,sweetietooth,245,00:03
85,This can't be real!,ayoitsayo,246,00:04
317,😋,marvelousmia,246,00:09
81,Don't we all just live for these?!,sweetietooth,246,00:01
210,True but you never know what they used to grow those veggies...,MomFiona,249,00:08
87,"gonna have to order me some za tonight, looks so good",cavsforever,251,00:09
1016,OMG! Where can you get those????,angelbao,253,00:16
86, 2 bacon cheeseburgs would!,cavsforever,253,00:04
198,Three cheese burgers can!,KatieeeM,253,00:07
226,Maybe three of them...,TomM41,253,00:12
82,Japchaes are my favorite too!,sweetietooth,256,00:07
89,might have to celebrate yesterday's big win with one these tonight,cavsforever,257,00:06
100,Mmmm looks super good. I might have to treat my sweet tooth tonight too!,karenM,257,00:10
55302,HILLARY LIED ABOUT BENGHAZI!!!! she left americans to die. #lockherup,MrShazam,258,00:05
90,"dakawhatta? never heard of it, looks good though",cavsforever,259,00:02
199,This looks nice. Maybe I can also do this for my daughter's birthday...,Dad Jenkins,261,00:11
66000,xxx**++2,Marcymaniac,263,00:02
227,Can't remember the last time I had a cinnamon roll...might be a time for a trip to Patsy's,TomM41,267,00:04
3001,Love boba!!!!,cassiechan,2000,00:10
3002,❤️,juliag26,2000,00:13
3003,Love them too! 😍😍😍,priscilla_lu,2000,00:23
3005,"honestly, me at every challenge! hang in there :)",cantbeatme,2005,00:21
3004,"aw, i do just the same! 🤣🤣🤣",EZpz,2005,00:03
3006,"you two look so cute, keep up it! oh, you ladies in the back look cute too ;)",itstrevor,2006,00:05
3008,ikr tfti! i want some too!,kingsaqueen,2006,00:08
3007,tfti!,robeats,2006,00:07
3010,"lol, you are tripping @Olivia Liu",donuts4me,2007,00:04
3009,"ok, but whos the cutie in the back? 🤭",olivialiu,2007,00:03
3012,stack em up! stack em up!,daharms,2008,00:04
3011,"jeez, thats a lot of bagels you got there",peytonsnacks,2008,00:02
3013,so jelly!!,marvelousmia,2009,00:04
3015,"haha sure, come with me next time :)",plate.it.up,2009,00:15
3014,can the chef cook me up something too? :O,vdoonan,2009,00:12
3299,Yum.,casssssssssie,2010,00:13
3016,youre holding such great food... ,robeats,2010,00:07
3017,"as my name suggests, i am veryhungryhanna so please shareee",veryhungryhanna,2010,00:12
3019,ohh dessert looks amazing!,daharms,2011,00:10
3020,you gals look like you all had fun :),dianalovesdesserts,2011,00:11
3018,"honestly, friendship goals ",olivialiu,2011,00:02
3021,"aw, thanks guys!",plate.it.up,2011,00:12
3023,"me too, me too ;)",drinksonyou,2012,00:14
3022,so aesthetic :O,itstrevor,2012,00:13
3024,mickeyds all the way,honeylove,2013,00:15
3026,very impressed with this!,marvelousmia,2014,00:17
3025,woahh,peytonsnacks,2014,00:03
3027,where's my invite omg 😅,veryhungryhanna,2014,00:22
3029,"haha @Hannah Walsh maybe so, maybe so ",cantbeatme,2015,00:20
3028,SEE. IF YOU JUST INVITED ME THINGS WOULDVE GONE DIFFERENTLY.,veryhungryhanna,2015,00:04
4500,Japan???,casssssssssie,2016,00:22
3030,what a dumpling!,dianalovesdesserts,2016,00:12
3031,i bet i could beat it,hannah-foods,2016,00:13
3033,that dumpling is like the size of a set of twin newborns... no triplets!!,robeats,2016,00:20
3032,wait japan?? ,vdoonan,2016,00:15
3036,@Ashab AlliIt's not a bad thing you know!,itstrevor,2017,00:15
3034,honestly same!,peytonsnacks,2017,00:04
3035,i cant break my cravings on coffee :(,washabi,2017,00:10
3037,DID SOMEONE SAY SNACK BREAK?,marvelousmia,2018,00:07
3038,ohh good choice!,olivialiu,2018,00:09
3039,SNACKS SNACKS SNACKS 😍,peytonsnacks,2018,00:10
3042,watch me.,honeylove,2019,00:08
3040,"um, i will :D",nathar,2019,00:01
3041,"psh, i can still SEE you!",vdoonan,2019,00:07
3044,"aw ty ty, but seriously, try out this ice cream shop :)",cassiechan,2020,00:32
3494,"I can recommend, its great!",marvelousmia,2020,00:12
3043,you're amazing!,olivialiu,2020,00:06
3045,what a fun gathering!,itstrevor,2021,00:06
3047,you girls are amazing!,nathar,2022,00:38
3046,hope you didnt spill any of that!,washabi,2022,00:21
3048,"nice cake, nice company ",lukas_m,2023,00:03
3049,looks fantastic!,karkarw,2024,00:08
3050,"looks so good, im drooling!",veryhungryhanna,2025,00:10
3051,"lol, i want to know what it is too!",drinksonyou,2026,00:04
3052,"erm, pizza? hotdog? ",lukas_m,2026,00:32
3053,nonetheless it sure looks really tasty!,sarahstella,2026,00:33
3054,but will it be the best burger IVE ever tried?,karkarw,2027,00:02
3055,🤔🤔🤔,PIEorPI,2027,00:05
3057,@Ashab Alli it tasted not so bad actually :),jonsmith88,2028,00:16
3056,"oh, ive made bread before! i hope it tasted better than my monstrous creation..",washabi,2028,00:03
3058,beautiful!,honeylove,2029,00:03
3060,🍞😬,itstrevor,2029,00:22
3059,get that bread!,lukas_m,2029,00:21
3062,but wheres your drink tho ;) ?,drinksonyou,2030,00:05
3061,yes indeed :D,veryhungryhanna,2030,00:01
3063,"yeah same, but i feel like i should be walking more!",MoH,2031,00:01
3124,Looks awesome!,emily_quispe,2032,00:01
3064,but that's what's best!!!,yungtung,2032,00:04
3066,looks so good!,daharms,2033,00:34
3065,"no, but that's why i need an invite",hannah-foods,2033,00:02
3067,you should try making it! it'll turn out as great as your bread!,sarahstella,2033,00:36
3070,10/10 would visit again,jonsmith88,2034,00:12
3069,that view!,kaykay027,2034,00:10
3068,what a beautiful sight :),shirokuro,2034,00:05
3074,"I want cupcakes, too!",hannah-foods,2035,00:09
3072,"@Jon Smith haha, yes! Yuuuummmmyyy!",honeylove,2035,00:02
3076,"It was vanilla kind with some very sugary icing... haha, not very spectacular. ",honeylove,2035,00:13
3071,"I know that place.... it's in Boston, right? 🤓",jonsmith88,2035,00:01
3073,🤣,jonsmith88,2035,00:04
3075,What type of cupcake was it?,raqueldunn,2035,00:10
4501,Love that place! Have been there too!,casssssssssie,2036,00:11
3080,Mike's Pastry in Boston 👍,honeylove,2036,00:10
3079,I wanna know too!!!!,julimuli,2036,00:09
4502,😊,PatelS,2036,00:12
3077, 😋😋😋,sarahstella,2036,00:05
3078,OMG! Where can you get those????,sofiaberger,2036,00:06
3083, 🙂,drinksonyou,2037,00:06
3081,Looks yummy,raqueldunn,2037,00:02
3082,Nice!,veryhungryhanna,2037,00:03
3084,You're pictures are so cute! 😊,angelbao,2038,00:01
3085,Love!,ashiNG,2038,00:08
3086,"@Angela Ng: Aww, thank you. ",honeylove,2038,00:09
3090,Is that a cheese cake?,angelbao,2039,00:12
3088,Love it. ,ashiNG,2039,00:03
3091, 👌,jonsmith88,2039,00:13
3087,"haha, great photo!",raqueldunn,2039,00:01
3089, 🤣,washabi,2039,00:10
3094,looks fantastic!,angelbao,2040,00:07
3095,Like!,cassiechan,2040,00:12
3092,Looks soooo good!,jonsmith88,2040,00:05
3093,Getting hungry just now!,julimuli,2040,00:06
3101,😋 Nice photo. ,angelbao,2041,00:13
3096,Donuts! 🤩,drinksonyou,2041,00:02
3098,Where is it?,drinksonyou,2041,00:04
3100,Will do when I visit the city next time. Thx. ,drinksonyou,2041,00:09
3097,You should def try that place,honeylove,2041,00:03
3099,Greenwich village in NYC. ,honeylove,2041,00:08
4503,😊,ria_camiii,2041,00:14
3102,"Wow, looks incredible!!!! What is it though???",angelbao,2042,00:01
3105,Was it good???,ashiNG,2042,00:03
3106,"Haha, it was some sort of meat pie. The smoke was just for the smell! And YES, it was good. ",honeylove,2042,00:05
3109,Looks cool. ,james_c,2042,00:10
3107, 😳,jonsmith88,2042,00:06
3110,Nice!,katrose,2042,00:10
3111,Love it. ❤️,notdave,2042,00:10
3103, 😳,raqueldunn,2042,00:01
3108,Impressive,raqueldunn,2042,00:07
3104,!!!,veryhungryhanna,2042,00:02
3112,"Haha, the face you're making. ",angelbao,2043,00:04
3113,😂,honeylove,2043,00:05
3120,Happy birthday 🎂,drinksonyou,2044,00:05
3122,"Thank you, guys!",hannah-foods,2044,00:12
3119,All the best! Hope you had a great day!,honeylove,2044,00:03
3121,Congrats! ☺️,pomipomi,2044,00:10
3118,Happy birthday!,vdoonan,2044,00:02
3123, 🤣,olivialiu,2045,00:04
3125,👀,washabi,2046,00:04
3130,"aw, thanks guys!",alisonwedge,2048,00:10
3126,Nice photo1,ededdneddy,2048,00:02
3127,Cuuuute,honeylove,2048,00:05
3128,😍,janeross,2048,00:06
3129,Cool photo 📸,sweetcakers,2048,00:07
3133,Nice location.,cantbeatme,2049,00:05
3135, 👌,ededdneddy,2049,00:13
3134,Sweeeet!!!!!!!!!!!,KamiT,2049,00:07
3131, 😍,pomipomi,2049,00:02
3132,Jealous!,raqueldunn,2049,00:03
3138,📸,ChriWon,2050,00:04
3137,Looks beautiful.,olivialiu,2050,00:01
3139,Nice. ,yungtung,2050,00:10
